,Album,Artist,Song
7379,Seal The Deal & Let's Boogie,Volbeat,The Gates of Babylon
4105,Seal The Deal & Let's Boogie,Volbeat,Let It Burn
7844,Seal The Deal & Let's Boogie,Volbeat,Rebound
9541,Seal The Deal & Let's Boogie,Volbeat,You Will Know
7215,Yellowcard,Yellowcard,Got Yours
6715,Yellowcard,Yellowcard,I'm a Wrecking Ball
3105,Yellowcard,Yellowcard,Fields & Fences
984,The Devil The Dark & The Rain,Foxblood,Hurricane Hearts
3185,The Devil The Dark & The Rain,Foxblood,Brittle Bones
2955,The Devil The Dark & The Rain,Foxblood,Ghost Town Medicine
2504,The Devil The Dark & The Rain,Foxblood,Swan Song
2541,Bad Vibrations,A Day to Remember,Naivety
1634,Bad Vibrations,A Day to Remember,Reassemble
171,Bad Vibrations,A Day to Remember,Same About You
2284,Bad Vibrations,A Day to Remember,Forgive and Forget
3752,Tidal Wave,Taking Back Sunday,Death Wolf
6517,Tidal Wave,Taking Back Sunday,Fences
5685,Tidal Wave,Taking Back Sunday,Holy Water
3309,Tidal Wave,Taking Back Sunday,We Don't Go in There
8855,Happiness Is,Taking Back Sunday,Preface
6155,Happiness Is,Taking Back Sunday,Like You Do
8178,Happiness Is,Taking Back Sunday,We Were Younger Then
3528,Happiness Is,Taking Back Sunday,Nothing at All
6926,Oh My My,OneRepublic,Let's Hurt Tonight
924,Oh My My,OneRepublic,Oh My My (feat. Cassius)
4183,Oh My My,OneRepublic,Choke
3964,Oh My My,OneRepublic,A.I. (feat. Peter Gabriel)
4520,Oh My My,OneRepublic,Better
6883,Oh My My,OneRepublic,Fingertips
2604,Oh My My,OneRepublic,Heaven
4386,13 Voices,Sum 41,Breaking the Chain
2799,13 Voices,Sum 41,Better Days
1178,Revolution Radio,Green Day,Revolution Radio
129,Revolution Radio,Green Day,Say Goodbye
9246,Revolution Radio,Green Day,Outlaws
6045,Revolution Radio,Green Day,Still Breathing
1930,Revolution Radio,Green Day,Youngblood
5826,Revolution Radio,Green Day,Too Dumb to Die
8067,Air For Free,Relient K,Bummin'
2682,Air For Free,Relient K,Local Construction
413,Air For Free,Relient K,Mrs. Hippopotamuses'
4515,Air For Free,Relient K,Cat
6001,Air For Free,Relient K,God
8430,Air For Free,Relient K,Elephant Parade
3839,Air For Free,Relient K,Marigold
6287,Air For Free,Relient K,Prodigal
6447,Forever!,(hed) P.E.,Pay Me
3734,Forever!,(hed) P.E.,Waste
7534,Forever!,(hed) P.E.,One of a Kind
2002,Forever!,(hed) P.E.,Always
73198,Afraid of Heights,Billy Talent,Ghost Ship of Cannibal Rats
68304,Afraid of Heights,Billy Talent,Time-Bomb Ticking Away
59651,Afraid of Heights,Billy Talent,Leave Them All Behind
3452,Afraid of Heights,Billy Talent,Horses & Chariots
71665,Afraid of Heights,Billy Talent,February Winds
96905,Panic Stations,Motion City Soundtrack,Lose Control
84748,Panic Stations,Motion City Soundtrack,Heavy Boots
85170,Panic Stations,Motion City Soundtrack,Broken Arrow
5912,Sharks Don't Sleep,Rise on Everest,Saturday Night Fairytale
82708,Sharks Don't Sleep,Rise on Everest,When Did You Cross Your Finish Line
41953,Sharks Don't Sleep,Rise on Everest,Stay Alive
87911,Sharks Don't Sleep,Rise on Everest,Memories
12667,Unfamiliar,In Her Own Words,Sink Your Teeth
66761,Unfamiliar,In Her Own Words,Strangers
94611,Unfamiliar,In Her Own Words,Collapse
62211,Unfamiliar,In Her Own Words,"I Was Honest, You Were Lying"
28544,Unfamiliar,In Her Own Words,Reverie
34927,Who You Selling For,The Pretty Reckless,Oh My God
